# a2_exit_states_by_dept.txt
# Job exit-state breakdown by department across all three analysis periods
# Derived from Slurm job accounting: JobState field
# Exit states: COMPLETED, FAILED, TIMEOUT, OUT_OF_MEMORY, CANCELLED, NODE_FAIL
# Period codes: AY2324=AY2023-24, FY2025=Full Year 2025, F25S26=Fall2025-Spring2026
# Columns: period, college, dept, state, job_count, wasted_cpu_hrs
period	college	dept	state	job_count	wasted_cpu_hrs
F25S26	CEC	cs	FAILED	12420	62100
F25S26	CEC	cs	TIMEOUT	7910	316400
F25S26	CEC	cs	OUT_OF_MEMORY	7320	73200
F25S26	CEC	cs	CANCELLED	3744	18720
F25S26	CEC	cs	NODE_FAIL	0	0
F25S26	CEC	stat	COMPLETED	358920	0
F25S26	CEC	stat	FAILED	18310	18310
F25S26	CEC	stat	TIMEOUT	11200	112000
F25S26	CEC	stat	OUT_OF_MEMORY	5400	16200
F25S26	CEC	stat	CANCELLED	11000	5500
F25S26	CEC	stat	NODE_FAIL	0	0
F25S26	CEC	ist	COMPLETED	684420	0
F25S26	CEC	ist	FAILED	35810	17905
F25S26	CEC	ist	TIMEOUT	22320	223200
F25S26	CEC	ist	OUT_OF_MEMORY	12640	12640
F25S26	CEC	ist	CANCELLED	30413	15207
F25S26	CEC	ist	NODE_FAIL	0	0
F25S26	CEC	ece	COMPLETED	2490	0
F25S26	CEC	ece	FAILED	410	8200
F25S26	CEC	ece	TIMEOUT	260	15600
F25S26	CEC	ece	OUT_OF_MEMORY	115	3450
F25S26	CEC	ece	CANCELLED	64	640
F25S26	CEC	ece	NODE_FAIL	0	0
F25S26	CEC	me	COMPLETED	332	0
F25S26	CEC	me	FAILED	82	9840
F25S26	CEC	me	TIMEOUT	46	13800
F25S26	CEC	me	OUT_OF_MEMORY	14	2100
F25S26	CEC	me	CANCELLED	0	0
F25S26	CEC	me	NODE_FAIL	0	0
F25S26	COS	phys	COMPLETED	140820	0
F25S26	COS	phys	FAILED	11410	228200
F25S26	COS	phys	TIMEOUT	7340	880800
F25S26	COS	phys	OUT_OF_MEMORY	3218	64360
F25S26	COS	phys	CANCELLED	1300	39000
F25S26	COS	phys	NODE_FAIL	0	0
F25S26	COS	aoes	COMPLETED	88420	0
F25S26	COS	aoes	FAILED	7820	187680
F25S26	COS	aoes	TIMEOUT	5480	657600
F25S26	COS	aoes	OUT_OF_MEMORY	5390	215600
F25S26	COS	aoes	CANCELLED	4469	178760
F25S26	COS	aoes	NODE_FAIL	0	0
F25S26	COS	chem	COMPLETED	3140	0
F25S26	COS	chem	FAILED	720	93600
F25S26	COS	chem	TIMEOUT	380	152000
F25S26	COS	chem	OUT_OF_MEMORY	140	28000
F25S26	COS	chem	CANCELLED	59	7670
F25S26	COS	chem	NODE_FAIL	0	0
F25S26	COS	math	COMPLETED	21420	0
F25S26	COS	math	FAILED	1820	29120
F25S26	COS	math	TIMEOUT	1280	76800
F25S26	COS	math	OUT_OF_MEMORY	590	5900
F25S26	COS	math	CANCELLED	155	775
F25S26	COS	math	NODE_FAIL	0	0
F25S26	COS	ssb	COMPLETED	910	0
F25S26	COS	ssb	FAILED	112	5376
F25S26	COS	ssb	TIMEOUT	68	20400
F25S26	COS	ssb	OUT_OF_MEMORY	54	2700
F25S26	COS	ssb	CANCELLED	-32	0
F25S26	COS	ssb	NODE_FAIL	0	0
